date,value
2013-05-01,34411
2013-06-01,378680
2013-07-01,360263
2013-08-01,1179946
2013-09-01,331041
2013-10-01,76323
2013-11-01,67248
2013-12-01,479024
2014-01-01,644818
2014-02-01,287283
2014-03-01,255860
2014-04-01,127045
2014-05-01,160253
2014-06-01,546535
2014-07-01,562809
2014-08-01,234700
2014-09-01,743773
2014-10-01,631183
2014-11-01,1362372
2014-12-01,359035
2015-01-01,1244437
2015-02-01,651341
2015-03-01,314221
2015-04-01,153152
2015-05-01,510372
2015-06-01,796427
2015-07-01,166892
2015-08-01,148617
2015-09-01,73457
